GENESYMBOLS,ENTREZ_ID,,
SLO1,305,,
CCP1,306,,
AT3G47010,307,,
AT5G13940,308,,
UGT85A3,309,,
CESA5,310,,
GGP1,311,,
AT5G20190,312,,
PLA-I{gamma}1,313,,
RLP46,314,,
AT1G74270,315,,
AT4G29020,316,,
AT4G14840,317,,
AT1G17490,318,,
AT5G47510,319,,
AT4G12340,320,,
AT2G36980,321,,
AT2G46535,322,,
AT5G20050,323,,
AT2G40280,324,,
AT2G31751,325,,
AT1G04230,326,,
AT5G53750,327,,
AT1G79080,328,,
AT3G58000,329,,
1-Aug,330,,
AT3G62810,331,,
AT3G08910,332,,
AT3G27997,333,,
MAF4,334,,
AT1G17360,335,,
CIPK2,336,,
AT4G37110,337,,
COX6B,338,,
AT2G44060,339,,
AT5G17900,340,,
AT1G33170,341,,
AT3G22850,342,,
GLCAK,343,,
AKR4C11,344,,
CHY1,345,,
AT1G15280,346,,
AT3G59640,347,,
AT5G18340,348,,
AT3G13440,349,,
AT3G23325,350,,
AT1G78790,351,,
EER5,352,,
AT4G27435,353,,
CIP8,354,,
BSH,355,,
PUR ALPHA-1,356,,
MIR167a,357,,
CYP81H1,358,,
AT1G04985,359,,
UGT85A4,360,,
AT1G22885,361,,
AT4G30993,362,,
AT5G02060,363,,
AT2G23090,364,,
AT4G31310,365,,
AT5G42850,366,,
ILR1,367,,
AT4G21740,368,,
SR34b,369,,
AT1G80120,370,,
AT2G35830,371,,
AT3G26070,372,,
BOR5,373,,
SULTR2;1,374,,
AT5G10050,375,,
AT1G73750,376,,
AT4G07810,377,,
BAG4,378,,
AT5G01015,379,,
CYT1,380,,
AT5G47790,381,,
SEH1H,382,,
TPK1,383,,
AT5G40180,384,,
AT2G42370,385,,
SD2-5,386,,
AT5G63690,387,,
AT1G67190,388,,
AT5G04480,389,,
AT3G20390,390,,
PSEUDOSRKA,391,,
AHA10,392,,
AT3G17380,393,,
AT3G47836,394,,
AT3G11120,395,,
ARF3,396,,
AT2G36815,397,,
AT5G21970,398,,
AT3G15480,399,,
TPI,400,,
AT2G45990,401,,
MYB98,402,,
AT5G63135,403,,
AT1G22800,404,,
WDR5b,405,,
AT3G59880,406,,
AT5G43660,407,,
WRNEXO,408,,
SDH3-2,409,,
VPS60.1,410,,
AT5G39080,411,,
AT2G14045,412,,
AT1G27700,413,,
AT2G32580,414,,
AT2G46930,415,,
AT4G18740,416,,
AT3G53650,417,,
AT3G14840,418,,
DEAR3,419,,
AT3G28760,420,,
AT1G68470,421,,
EMB2756,422,,
AT2G44380,423,,
SCPL9,424,,
PFD1,425,,
AT3G24516,426,,
PMSR2,427,,
AT5G27490,428,,
AT2G24680,429,,
AT3G19620,430,,
AT2G46290,431,,
AT3G50170,432,,
AT1G06580,433,,
AT2G40240,434,,
EFE,435,,
AT3G03420,436,,
WRKY23,437,,
AT1G20970,438,,
MAM1,439,,
AT4G35680,440,,
SPS3F,441,,
AT5G25280,442,,
ABCG3,443,,
AT5G40810,444,,
AT1G12250,445,,
AT3G52610,446,,
AT5G58005,447,,
AT2G21840,448,,
AT1G16700,449,,
CJD1,450,,
SPT42,451,,
AT3G03550,452,,
AT1G03030,453,,
AT1G34315,454,,
HINT 2,455,,
AT3G60180,456,,
AT1G49140,457,,
OST1,458,,
AT4G18593,459,,
RSR4,460,,
SPC25,461,,
AT3G12460,462,,
AT5G15320,463,,
scpl23,464,,
AT1G22140,465,,
KIS,466,,
PRA1.B3,467,,
KEA6,468,,
MGT7,469,,
AT4G15630,470,,
ATTRX4,471,,
MIR398c,472,,
GLTP1,473,,
DFL2,474,,
ZFN3,475,,
AT3G11110,476,,
PMEPCRF,477,,
ATP6-2,478,,
AT2G42770,479,,
G-TMT,480,,
AT4G13615,481,,
ECT10,482,,
PUP1,483,,
AT4G09580,484,,
AT3G30122,485,,
AT5G14840,486,,
RLP6,487,,
APS3,488,,
NAGS1,489,,
DEG5,490,,
NRPB6A,491,,
AT1G23560,492,,
AT4G21910,493,,
SNRK2-8,494,,
CYP71B20,495,,
PAA2,496,,
AT5G63905,497,,
AT2G44995,498,,
AT1G33260,499,,
UMAMIT1,500,,
AT5G04790,501,,
ERD9,502,,
AT3G51580,503,,
AT4G20760,504,,
AT1G52710,505,,
AT5G17010,506,,
AT1G06265,507,,
hemf2,508,,
AT5G53360,509,,
MTACP-1,510,,
AT3G08610,511,,
SCPL11,512,,
AT2G33855,513,,
AT2G43700,514,,
AT2G02770,515,,
AT3G47100,516,,
SQP1,517,,
AT5G13600,518,,
AT4G33690,519,,
IPP1,520,,
GK-1,521,,
AT4G22790,522,,
AT4G01245,523,,
AT1G07300,524,,
AT2G20362,525,,
AT2G12190,526,,
AT2G26030,527,,
AT1G20816,528,,
MIR163,529,,
RLP55,530,,
AT3G52220,531,,
AT4G29550,532,,
AT5G18407,533,,
AT3G02030,534,,
AT2G32070,535,,
AT2G02050,536,,
AT1G74875,537,,
AT4G07920,538,,
AT2G45590,539,,
AT5G57300,540,,
AER,541,,
AT2G41890,542,,
WRR4,543,,
AT5G02280,544,,
AT4G37225,545,,
CSLA10,546,,
AT1G22882,547,,
AT2G39500,548,,
PIN1AT,549,,
AT4G27560,550,,
AT1G53290,551,,
AT1G32570,552,,
AT1G52370,553,,
NPY3,554,,
AT2G28130,555,,
AT3G52748,556,,
AT2G02170,557,,
AT2G34310,558,,
ORP1A,559,,
AT3G23570,560,,
GDPD5,561,,
ASP1,562,,
ABIL1,563,,
ATS3,564,,
AT5G66550,565,,
AT4G11200,566,,
RGL3,567,,
AT3G28270,568,,
MIR157c,569,,
THO7,570,,
BLT,571,,
AT3G13226,572,,
AT5G57370,573,,
AT4G21720,574,,
AT4G04360,575,,
AT3G59750,576,,
AT1G54460,577,,
NUC-L2,578,,
SDR1,579,,
RABG3d,580,,
MUR3,581,,
AT3G10680,582,,
ANNAT1,583,,
AT3G05170,584,,
_OCT3,585,,
TGG1,586,,
AT5G17700,587,,
AT4G23670,588,,
AT5G21105,589,,
MOT2,590,,
AT5G45350,591,,
AT3G19470,592,,
AT3G06630,593,,
AT3G27030,594,,
AT1G27695,595,,
AT5G41960,596,,
AT3G59150,597,,
AT5G51740,598,,
SLT1,599,,
DGK3,600,,
KCR2,601,,
RIC7,602,,
SWEET13,603,,
FBH2,604,,
AT2G47380,605,,
AT3G02900,606,,
AT5G07580,607,,
CAX1,608,,
AT3G12040,609,,
AT2G47370,610,,
ADF4,611,,
NIG1,612,,
ZFP7,613,,
AT1G50732,614,,
AT5G12930,615,,
AT2G03010,616,,
AT3G26085,617,,
SRS,618,,
GOX2,619,,
AT1G72175,620,,
AT2G41600,621,,
RUP1,622,,
AT5G48350,623,,
SVL4,624,,
PFK5,625,,
AT4G22350,626,,
ABCC11,627,,
AOR,628,,
FUT7,629,,
AT1G69760,630,,
PFN2,631,,
AT4G00234,632,,
AT4G38840,633,,
AT3G28940,634,,
AT5G05110,635,,
AGP20,636,,
AT1G69790,637,,
ACA11,638,,
